Date,Open,High,Low,Close,Adj Close,Volume
2021-02-19,43.759998,46.400002,42.180000,43.270000,43.270000,24234100
2021-02-22,37.049999,41.490002,36.599998,37.110001,37.110001,20575300
2021-02-23,30.990000,31.709999,26.059999,28.559999,28.559999,31753900
2021-02-24,32.549999,36.540001,31.129999,33.410000,33.410000,26775000
2021-02-25,36.070000,37.689999,29.680000,30.629999,30.629999,23955600
2021-02-26,28.549999,32.349998,28.200001,30.150000,30.150000,21127500
2021-03-01,34.220001,38.500000,32.330002,38.500000,38.500000,22963800
2021-03-02,40.000000,40.000000,34.669998,34.889999,34.889999,17302500
2021-03-03,38.110001,38.450001,34.830002,36.619999,36.619999,18558700
2021-03-04,34.349998,36.200001,28.500000,32.009998,32.009998,20974700
2021-03-05,32.400002,32.880001,24.110001,30.030001,30.030001,24275700
2021-03-08,31.500000,32.450001,28.010000,28.510000,28.510000,16352300
2021-03-09,32.020000,37.959999,31.830000,36.770000,36.770000,27885100
2021-03-10,39.400002,40.549999,36.299999,38.189999,38.189999,24032800
2021-03-11,38.900002,42.209999,37.869999,41.810001,41.810001,19389200
2021-03-12,37.770000,43.599998,37.500000,40.700001,40.700001,15683400
2021-03-15,41.009998,44.869999,41.000000,43.099998,43.099998,15997600
2021-03-16,41.590000,42.189999,37.080002,38.360001,38.360001,14829500
2021-03-17,37.009998,43.400002,35.000000,43.180000,43.180000,21192100
2021-03-18,41.900002,45.910000,40.709999,41.560001,41.560001,22632700
2021-03-19,42.310001,44.299999,41.599998,43.049999,43.049999,18246700
2021-03-22,42.970001,43.230000,39.130001,39.990002,39.990002,16740600
2021-03-23,39.189999,41.369999,37.610001,38.040001,38.040001,15570400
2021-03-24,40.020000,40.590000,33.639999,34.040001,34.040001,14714100
2021-03-25,29.840000,34.700001,29.570000,34.200001,34.200001,17276000
2021-03-26,34.750000,36.189999,33.799999,36.090000,36.090000,10801900
2021-03-29,39.020000,40.439999,37.619999,38.130001,38.130001,15161100
2021-03-30,39.330002,44.349998,38.549999,44.139999,44.139999,23344700
2021-03-31,43.529999,50.209999,42.599998,48.020000,48.020000,35148800
2021-04-01,48.880001,51.759998,47.310001,48.849998,48.849998,20813200
2021-04-05,48.889999,57.169998,47.400002,56.560001,56.560001,29046800
2021-04-06,56.689999,57.750000,51.220001,52.450001,52.450001,21419500
2021-04-07,49.209999,51.169998,45.549999,46.259998,46.259998,21233700
2021-04-08,48.700001,52.099998,48.470001,49.820000,49.820000,22117800
2021-04-09,51.000000,52.110001,46.849998,49.000000,49.000000,20887500
2021-04-12,51.610001,54.520000,48.709999,50.070000,50.070000,27398800
2021-04-13,54.000000,54.040001,49.720001,51.000000,51.000000,33395300
2021-04-14,50.959999,50.980000,42.259998,42.970001,42.970001,43053800
2021-04-15,43.869999,44.980000,38.549999,42.139999,42.139999,35506900
2021-04-16,39.599998,41.189999,37.680000,38.930000,38.930000,23728200
2021-04-19,35.020000,37.090000,33.240002,35.549999,35.549999,28403500
2021-04-20,34.799999,35.770000,30.740000,33.570000,33.570000,26874700
2021-04-21,31.389999,35.680000,31.049999,34.930000,34.930000,22768400
2021-04-22,34.549999,35.730000,30.920000,31.059999,31.059999,22212700
2021-04-23,29.090000,32.709999,28.360001,32.299999,32.299999,21697800
2021-04-26,34.919998,36.320000,33.259998,34.139999,34.139999,20890200
2021-04-27,35.099998,35.400002,33.779999,34.119999,34.119999,12994300
2021-04-28,34.180000,37.919998,33.580002,37.639999,37.639999,20558200
2021-04-29,36.099998,36.639999,33.799999,34.259998,34.259998,15562100
2021-04-30,34.980000,38.549999,34.669998,36.779999,36.779999,22154500
2021-05-03,38.200001,39.680000,35.209999,36.220001,36.220001,17671200
2021-05-04,34.880001,35.240002,32.220001,33.950001,33.950001,14261900
2021-05-05,34.500000,36.230000,32.950001,33.549999,33.549999,15077600
2021-05-06,33.590000,34.110001,30.000000,31.400000,31.400000,13903800
2021-05-07,31.910000,32.790001,30.809999,31.330000,31.330000,11735100
2021-05-10,30.990000,31.150000,27.620001,27.820000,27.820000,17201100
2021-05-11,23.600000,26.410000,23.230000,25.950001,25.950001,23322000
2021-05-12,24.850000,26.309999,22.430000,22.850000,22.850000,20186900
2021-05-13,21.370001,22.600000,18.320000,19.660000,19.660000,33368400
2021-05-14,21.230000,23.990000,20.990000,23.080000,23.080000,24535800
2021-05-17,20.559999,22.510000,20.309999,22.360001,22.360001,19471000
2021-05-18,22.059999,23.870001,21.809999,22.990000,22.990000,16461700
2021-05-19,19.450001,21.780001,19.309999,21.709999,21.709999,33073100
2021-05-20,23.469999,24.270000,20.930000,21.889999,21.889999,22823400
2021-05-21,21.940001,22.799999,20.410000,20.889999,20.889999,20760500
2021-05-24,21.260000,23.290001,21.090000,23.150000,23.150000,22112000
2021-05-25,22.400000,23.290001,21.930000,22.620001,22.620001,13849400
2021-05-26,23.670000,25.930000,23.330000,25.260000,25.260000,23333400
2021-05-27,26.510000,27.110001,24.780001,25.840000,25.840000,20543600
2021-05-28,24.840000,25.709999,24.160000,24.770000,24.770000,12356100
2021-06-01,24.540001,25.650000,24.450001,25.200001,25.200001,11831000
2021-06-02,25.879999,26.299999,24.930000,25.240000,25.240000,12685500
2021-06-03,25.639999,25.719999,23.730000,23.790001,23.790001,9132900
2021-06-04,23.230000,24.750000,23.090000,24.350000,24.350000,8142400
